title,type,release_date,secondary_types,track_count,label
Happiness,Single,2014-08-01,,1,SM Entertainment
Be Natural,Single,2014-10-09,,1,SM Entertainment
Ice Cream Cake,EP,2015-03-17,,6,SM Entertainment
The Red,Album,2015-09-09,,10,SM Entertainment
세가지 소원 (Wish Tree),Single,2015-12-18,,1,SM Entertainment
The Velvet,EP,2016-03-17,,8,SM Entertainment
애니메이션 텔레몬스터 OST,Single,2016-05-02,Soundtrack,1,MBC
Russian Roulette,EP,2016-09-07,,7,SM Entertainment
Rookie,EP,2017-02-01,,6,SM Entertainment
Would U,Single,2017-03-31,,2,SM Entertainment
The Red Summer,EP,2017-07-09,,5,SM Entertainment
환생 (Rebirth),Single,2017-08-17,,1,SM Entertainment
Perfect Velvet,Album,2017-11-17,,9,SM Entertainment
투유 프로젝트 - 슈가맨2 Part.3,Single,2018-01-29,Soundtrack,2,fantagio music
#Cookie Jar,Single,2018-06-13,,2,avex trax
#Cookie Jar,EP,2018-07-04,,6,avex trax
Summer Magic,EP,2018-08-06,,7,SM Entertainment
RBB,EP,2018-11-30,,6,SM Entertainment
SAPPY,Single,2019-01-06,,1,avex trax
Sayonara,Single,2019-02-20,,1,avex trax
Close to Me,Single,2019-04-05,Remix,1,Polydor
Power Up,Single,2019-04-24,,1,avex trax
SAPPY,EP,2019-05-29,,6,avex trax
‘The ReVe Festival’ Day 1,EP,2019-06-19,,6,SM Entertainment
호텔 델루나 OST Part.8,Single,2019-08-10,Soundtrack,2,YamYam Entertainment
‘The ReVe Festival’ Day 2,EP,2019-08-20,,6,SM Entertainment
Our Beloved BoA #4,Single,2020-08-21,,2,SM Entertainment
스타트업 (Start-Up) OST Part. 1,Single,2020-10-17,Soundtrack,2,VLENDING
Queendom,EP,2021-08-16,,6,SM Entertainment
‘The ReVe Festival 2022 - Feel My Rhythm’,EP,2022-03-21,,6,SM Entertainment
Bloom,Single,2022-03-28,,1,avex trax
Bloom,Album,2022-04-06,,15,avex trax
‘The ReVe Festival 2022 - Birthday’,EP,2022-11-28,,5,SM Entertainment
Beautiful Christmas,Single,2022-12-14,,1,SM Entertainment
Chill Kill,Album,2023-11-13,,10,SM Entertainment
Cosmic,EP,2024-06-24,,6,SM Entertainment
